acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
-0.6644,7.835,-0.237,-30.1514,61.0352,-78.6133,110055.0
-0.5088,2.4361,-0.0694,-51.6357,65.8569,-139.1602,120063.0
-0.8859,-0.1221,2.8383,-59.7534,55.1758,-173.2178,130070.0
-1.3838,-1.7226,0.2646,-60.3638,70.0684,-193.7866,140073.0
-0.2478,-10.1215,-9.8102,-69.9463,72.5708,-221.3745,150074.0
1.1121,-18.0236,-13.4327,-76.2939,42.1143,-217.1021,160080.0
2.4193,-24.531,-13.6493,-68.7256,-1.2817,-188.7817,170083.0
2.8491,-27.58,-12.0608,-31.1279,-41.687,-137.8784,180090.0
2.2529,-24.9835,-9.323,12.9395,-72.0215,-73.6694,190091.0
0.9996,-18.33,-5.2613,52.4902,-101.1963,15.0757,200095.0
0.5507,-15.8341,-4.3419,45.4102,-108.3374,39.7949,210096.0
0.1879,-13.0652,-3.7948,36.8652,-118.5913,57.4951,220098.0
0.0658,-10.5381,-1.9537,31.6162,-129.3335,65.918,230100.0
0.231,-8.9124,0.0802,20.752,-136.8408,65.5518,240105.0
0.0132,-7.908,14.1198,17.395,-131.5918,48.8892,250110.0
2.0937,-10.7332,17.3771,22.522,-83.8623,45.5933,260117.0
3.2525,-10.8314,18.7634,19.9585,-25.5127,55.8472,270119.0
3.2465,-11.4443,20.9361,2.6855,18.5547,65.4297,280125.0
1.4222,-10.8757,22.0877,-30.4565,65.6128,77.7588,290125.0
0.5974,-10.4974,18.16,-90.21,173.3398,89.3555,300125.0
-0.8009,-5.8227,1.2809,-93.811,191.2231,80.6274,310126.0
-0.9529,-3.0765,-3.9935,-70.5566,178.894,59.8755,320126.0
-0.504,-1.9992,-6.9504,-33.3862,154.9683,29.48,330131.0
-0.401,-2.5977,-8.0445,2.3804,125.4272,-4.5166,340136.0
-0.4094,-3.3088,-7.5645,50.2319,73.6084,-53.5889,350137.0
-0.3077,-8.4276,-3.7541,42.3584,62.0117,-68.4814,360144.0
0.0132,-11.6705,-6.4081,11.9019,61.7065,-70.9229,370146.0
0.3603,-15.0021,-9.5624,-22.3999,56.2134,-63.5986,380151.0
0.6464,-16.6636,-10.7571,-29.9683,37.6587,-46.2646,390158.0
0.9493,-16.7774,-11.4,19.4092,-5.127,-0.4272,400161.0
-0.1796,-11.7328,-5.9795,45.166,-28.9307,16.2964,410161.0
0.3974,-9.8306,-2.9904,57.312,-42.1753,21.1792,420167.0
0.2574,-8.0146,-0.5602,55.7251,-45.7764,19.5923,430177.0
0.6752,-7.2903,0.3448,43.5181,-44.5557,12.3291,440190.0
1.1791,-7.6698,1.4485,26.7944,-35.2173,-7.2021,450195.0
2.4876,-9.736,1.6604,24.5361,-25.0244,-10.7422,460205.0
2.7928,-10.0975,1.2474,22.644,-19.2261,-9.8877,470210.0
2.9963,-10.7847,1.4437,21.6064,-18.7378,-7.9346,480220.0
3.1149,-10.8002,1.9632,23.3765,-18.2495,-3.2349,490232.0
2.9413,-10.6901,2.2278,26.123,-11.2305,7.6294,500245.0
