acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
-1.0056,-1.2282,2.5977,-59.021,136.7798,-118.7744,110025.0
-1.2953,-7.7452,-4.3251,-59.6924,149.9023,-151.5503,120031.0
-2.2386,-16.18,-9.7468,-58.1055,99.6094,-146.7285,130031.0
-1.8914,-26.28,-12.0668,23.2544,44.0063,-100.0366,141124.0
-2.0662,-19.0471,-6.0442,79.834,-7.3853,-33.02,151124.0
-2.2326,-11.5221,-2.6456,106.0791,-22.2778,6.5918,161128.0
-1.4892,-7.4388,-3.3507,81.9092,-9.1553,2.7466,171132.0
-0.5291,-12.0859,-3.4309,-26.5503,4.5776,-41.2598,181134.0
0.2011,-12.1206,0.559,-29.9683,-7.019,-36.8042,191138.0
0.9984,-11.0289,0.8021,-3.7231,-6.5918,-25.4517,201138.0
1.7286,-8.2983,0.0467,27.771,-4.8828,-15.686,211139.0
1.585,-5.3211,2.1153,48.1567,-15.686,-11.7187,221146.0
1.47,0.0132,5.9005,42.0532,-12.5732,-42.8467,231153.0
0.5267,-0.4776,5.636,20.3247,3.418,-77.8198,241156.0
-0.5291,-1.9992,4.4676,6.1035,15.4419,-106.9946,251159.0
-1.8052,-7.3717,-0.3029,-7.0801,31.9824,-133.3008,261160.0
-2.2362,-16.1094,-5.6551,-28.5645,38.4521,-149.7192,271167.0
-2.8371,-24.2892,-9.3134,-25.4517,-8.8501,-93.9331,281172.0
-3.6296,-23.1651,-3.9576,21.9727,-53.4668,-27.71,291173.0
-3.2477,-14.9171,1.8328,55.542,-77.3315,24.231,301176.0
-2.5462,-8.3929,4.3467,52.063,-68.5425,36.1328,311184.0
-1.664,-5.8454,5.5976,28.2593,-49.5605,19.8975,321189.0
-1.1947,-7.4855,5.187,-11.7187,-18.5547,-16.6016,331189.0
-1.172,-8.3031,3.043,4.2725,-23.0103,-15.0146,341195.0
-1.1444,-7.3287,3.1699,26.7334,-33.3862,-13.2446,351199.0
-1.2713,-6.8079,3.9002,42.2974,-39.2456,-15.625,361200.0
-1.3372,-7.2652,4.5203,43.7622,-39.3066,-20.752,371203.0
-1.3001,-8.6598,4.7896,15.625,-19.2871,-23.1323,381207.0
-1.7705,-11.1893,1.7095,3.7842,-7.2021,-17.8833,391213.0
-2.0758,-12.6294,-0.3819,0.3052,-3.1738,-9.5825,401218.0
-2.4457,-12.6031,-1.3707,6.5918,-8.4839,3.54,411221.0
-2.557,-11.4527,-0.6788,21.5454,-19.3481,16.1743,421225.0
-2.5654,-9.8605,-0.1006,41.5039,-26.9165,21.4233,431229.0
-2.4349,-9.4044,0.4693,39.7339,-22.644,13.1226,441229.0
-2.2721,-10.3154,0.747,33.6914,-18.5547,5.9204,451229.0
-2.0303,-11.1474,0.6991,27.9541,-13.916,1.9531,461237.0
-1.8076,-11.6083,0.8392,20.813,-10.6201,2.5024,471238.0
-1.6149,-11.3653,0.4585,17.2119,-8.9111,10.7422,481244.0
-1.3108,-10.9295,0.7685,18.1885,-13.6108,14.9536,491246.0
-1.2677,-10.2256,1.749,19.6533,-18.0054,19.9585,501251.0
