acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
0.097,-2.0255,-11.6801,-3.7842,-40.8325,-5.3101,110046.0
-0.0599,-0.9469,-9.3015,-3.479,-69.2139,-31.189,120048.0
-0.5016,-1.4509,-8.2061,-1.4648,-87.5244,-60.9131,130049.0
-0.4956,-2.0973,-8.5712,4.6997,-101.2573,-88.501,140050.0
-1.5275,-3.6296,-4.6352,15.564,-122.5586,-112.1216,150054.0
-1.9357,-5.6228,8.3833,37.4756,-126.2817,-137.207,160057.0
-1.7334,-8.4084,8.2361,22.7661,-87.9517,-145.2637,170059.0
-1.9812,-11.9686,8.9962,-13.3667,-59.9976,-147.4609,180061.0
-2.3619,-15.1673,8.9962,-42.3584,-36.5601,-138.855,190069.0
-2.7114,-16.2099,8.8394,-46.7529,-17.1509,-119.0796,200072.0
-2.9473,-15.8676,10.0341,-27.2827,12.3901,-80.4443,210075.0
-3.1388,-17.9445,10.3717,-27.2827,31.4331,-67.8711,220082.0
-2.891,-18.67,9.7911,-26.4282,53.3447,-50.354,230086.0
-2.7258,-18.099,6.1974,-24.0479,79.895,-27.4658,240093.0
-2.5139,-17.0216,2.4696,-23.6206,97.6563,-5.6763,250096.0
-2.4157,-16.1668,-1.2941,-10.6812,100.4028,28.2593,260096.0
-2.0231,-11.6849,-6.092,2.8076,87.2803,40.8936,270104.0
-1.7226,-9.0644,-7.203,19.9585,70.9839,45.5322,280112.0
-1.4664,-7.1958,-7.6758,34.4238,53.7109,43.0298,290118.0
-1.3348,-6.6152,-6.8941,38.5742,37.4146,35.3394,300121.0
-1.0774,-6.8438,-6.5158,11.1084,22.7661,19.4092,310122.0
-0.9014,-8.412,-7.507,-2.5635,14.4653,15.9302,320122.0
-0.7709,-8.3845,-6.7696,-4.3335,2.6245,15.4419,330127.0
-0.6021,-7.7393,-6.7205,3.1128,-5.9814,15.1367,340135.0
-0.5399,-7.361,-5.2565,9.3384,-17.8223,12.3291,350136.0
-0.6189,-7.7871,-3.462,20.2026,-34.1187,2.0142,360139.0
-0.7949,-8.5784,-0.3591,20.6299,-36.377,-2.0752,370141.0
-0.8823,-9.8641,0.5555,13.5498,-33.7524,-6.1035,380156.0
-0.9685,-10.902,0.68,5.9204,-28.1982,-7.019,390164.0
-1.0738,-11.6957,0.8595,0.5493,-24.4141,-5.4932,400171.0
-1.1193,-12.0476,0.929,7.3853,-18.4937,4.3945,410175.0
-1.2282,-11.4311,0.8571,9.8267,-16.7847,7.8125,420176.0
-1.233,-11.3892,0.8571,10.376,-14.0381,10.6812,430179.0
-1.1839,-11.4898,0.407,8.7891,-9.8267,13.5498,440193.0
-1.0977,-11.5927,-0.4357,6.7749,-5.9204,16.8457,450194.0
-1.0415,-11.2755,-1.1468,6.2256,-4.5166,25.3906,460202.0
-0.9864,-9.912,-1.998,9.7656,-5.0659,28.3813,470217.0
-0.7805,-9.5541,-2.0734,11.7187,-5.9204,28.8696,480221.0
-0.6117,-9.1782,-2.4445,12.0239,-6.2866,28.6255,490227.0
-0.5447,-8.8597,-2.7761,11.5356,-6.958,28.1982,500234.0
