acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
-0.905,-13.8098,6.5613,-30.9448,-41.5039,103.9429,110049.0
-0.7757,-12.6569,3.6428,-48.1567,-17.0288,113.0981,120054.0
-0.917,-11.5484,3.2669,-53.3447,-9.7046,120.5444,130054.0
-1.166,-9.9599,6.4596,-28.8086,-16.8457,125.0,140058.0
-1.0918,-2.5163,14.3233,-13.3667,2.8687,112.5488,150059.0
-0.6057,-0.4717,13.8684,-11.8408,41.1377,85.022,160065.0
-0.4932,1.5778,13.0723,-17.5781,75.4395,53.5278,170071.0
-0.3962,2.1081,10.0126,-27.1606,107.4219,16.1743,180078.0
-0.3843,0.6273,5.1451,-41.9312,143.1274,-60.0586,190083.0
-1.1193,-1.0104,-1.3563,-35.3394,136.7187,-91.1865,200090.0
-1.7238,-0.5315,-3.6607,-13.4277,126.0376,-119.1406,210090.0
-2.1332,-0.8116,-6.6679,10.1929,114.8682,-149.231,220097.0
-2.2146,-3.4728,-10.8158,23.0713,98.1445,-181.4575,230101.0
-2.2458,-9.4176,-14.5005,19.8364,23.9258,-206.9092,240109.0
-1.7897,-23.7565,-13.38,-17.8223,-18.1885,-180.6641,251203.0
-1.5275,-28.2121,-10.1622,-15.0757,-56.0913,-132.9956,261206.0
-1.6412,-28.2779,-7.7345,6.2256,-82.2754,-68.1152,271209.0
-1.7849,-24.452,-2.8359,35.3394,-103.0273,-2.5635,281216.0
-2.5067,-14.8859,6.1004,62.5,-105.4688,79.4678,291216.0
-2.8718,-9.1614,8.9196,48.5229,-86.4868,96.9238,301219.0
-2.6408,-6.1806,7.8123,15.686,-56.1523,86.6699,311219.0
-1.9848,-6.0154,5.2241,-8.8501,-29.9072,60.9131,321219.0
-1.5419,-6.7684,4.1085,-20.2637,-22.7661,36.9263,331219.0
-1.0008,-9.2727,4.8698,8.9722,-29.6021,10.0708,341221.0
-0.4022,-9.3458,5.8131,29.8462,-32.7759,10.8643,351227.0
-0.2239,-8.9495,7.1467,39.5508,-30.8228,12.6953,361234.0
-0.0491,-8.8717,8.1798,31.6772,-22.0337,13.6719,371235.0
0.018,-8.8071,7.6411,12.207,-4.9438,14.4653,381236.0
0.012,-9.1183,2.0243,-15.1367,29.4189,16.7236,391236.0
-0.152,-9.6127,-0.972,-13.6108,33.1421,17.5171,401237.0
-0.3041,-9.0944,-2.0566,-3.1128,24.231,20.2637,411240.0
-0.5423,-8.3594,-2.144,10.6201,11.5967,21.4844,421248.0
-0.656,-7.5585,-1.9465,22.2168,1.5259,19.2261,431248.0
-0.7913,-7.2161,-1.3958,25.4517,-8.3008,3.7231,441253.0
-0.8404,-8.5222,-0.5997,14.6484,-7.3853,-5.3101,451255.0
-0.8236,-9.8605,-0.4334,2.6855,-6.4697,-11.4746,461257.0
-0.7853,-11.0768,-0.5902,-4.4556,-5.4932,-13.0005,471262.0
-0.7721,-11.7172,-0.6704,-4.2725,-5.4321,-9.2773,481265.0
-0.6644,-11.8848,-0.6847,8.3008,-10.9253,4.3335,491267.0
-0.7649,-10.4052,0.5578,15.3809,-16.2354,10.1929,501270.0
