acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
-1.5646,-24.3897,14.4658,-13.1836,91.6748,-134.7656,110040.0
-1.2151,-25.1954,9.2045,-27.5269,138.7939,-94.1162,120041.0
-1.9597,-24.0701,2.0734,-49.0112,171.875,-51.9409,130044.0
-2.4493,-21.4137,-3.1448,-51.9409,172.2412,-9.2773,140046.0
-2.9544,-17.5124,-8.916,-28.8086,156.8604,26.4893,150049.0
-3.7194,-12.3553,-12.809,27.4048,79.3457,59.3262,160054.0
-4.367,-5.9987,-13.453,48.4009,37.4756,50.415,170059.0
-4.4257,-6.0382,-12.5037,58.2275,5.0049,33.02,180060.0
-3.5554,-8.9495,-10.094,43.5181,-18.6157,13.1836,190067.0
-3.3962,-11.1977,-9.8617,13.9771,-27.2827,4.4556,200073.0
-2.6851,-12.8377,-11.7819,-30.5786,-41.1377,15.9302,210081.0
-0.899,-12.9885,-13.6458,-33.6304,-63.4766,30.7617,220081.0
-0.1748,-12.1063,-11.8202,-27.2217,-96.1304,45.0439,230082.0
0.0527,-10.5919,-7.6387,-18.0664,-132.5684,57.4341,240086.0
-0.3256,-7.7057,-1.1552,0.7935,-161.1328,66.8945,250087.0
-0.3352,-5.1846,8.6718,38.4521,-165.2832,57.1289,260089.0
1.0319,-1.8088,22.2338,21.6064,-119.5068,37.2925,270093.0
1.5945,-3.9157,24.112,-21.8506,-57.312,8.0566,280101.0
1.8495,-8.7173,20.9301,-62.561,10.3149,-15.8081,290106.0
1.5143,-11.892,16.3895,-78.6133,62.0117,-17.2729,300112.0
1.1624,-13.4746,12.4139,-38.0249,102.5391,18.5547,310120.0
-0.9337,-9.9335,5.7102,-11.9629,106.8115,43.1519,320121.0
-2.138,-5.5174,1.9213,7.9346,107.7271,54.0161,330129.0
-2.879,-3.6332,-1.3001,14.8926,103.6377,39.6729,340133.0
-3.2717,-4.6052,-4.6052,12.146,95.2759,12.8174,350140.0
-3.6176,-7.5992,-7.6291,7.5684,68.5425,-31.7993,360145.0
-3.7529,-15.3576,-12.9562,8.1787,47.8516,-37.2925,371233.0
-3.383,-18.3276,-13.7499,12.0239,21.6064,-28.6865,381238.0
-2.7593,-18.3168,-12.2152,20.9961,-8.3008,-7.3242,391240.0
-1.9932,-15.7179,-10.1155,34.1187,-32.8369,17.5171,401247.0
-1.2318,-10.6159,-3.8247,43.7012,-62.8052,41.0156,411249.0
-0.0036,-9.5229,-1.2845,38.8794,-64.5752,40.2222,421251.0
0.0455,-9.1494,0.3771,28.8086,-59.6924,35.4614,431259.0
0.6524,-9.6223,1.1217,16.6626,-52.9175,29.8462,441259.0
0.8344,-10.1969,1.5874,6.3477,-45.9595,26.2451,451264.0
0.972,-9.8641,2.6887,7.6294,-41.4429,32.1655,461272.0
1.1408,-8.406,3.3112,14.1602,-40.8325,34.4238,471273.0
1.008,-7.6207,4.81,19.8364,-40.5884,34.5459,481275.0
0.9218,-6.7014,6.6882,20.874,-36.6821,32.0435,491282.0
0.9936,-6.4248,7.3538,14.7705,-23.6816,25.6348,501282.0
