acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
0.0443,1.0427,10.568,-4.3945,18.3716,181.0913,111129.0
1.719,8.3629,12.2607,-26.2451,45.0439,152.6489,121131.0
1.5706,9.1075,12.7539,-60.6079,77.5146,101.7456,131136.0
2.7461,8.1199,8.7795,-85.5713,111.8774,43.396,141141.0
3.1544,5.8179,3.5195,-97.4731,132.8735,-12.5122,151143.0
3.1005,2.235,-0.3316,-98.5718,115.2954,-97.4731,161144.0
2.4277,-11.1713,-7.6902,-80.8716,92.7734,-114.1357,171146.0
1.482,-15.2618,-9.7025,-50.7202,63.2935,-107.2388,181147.0
0.2885,-15.6258,-10.1119,-14.2822,32.4097,-86.4868,191155.0
-0.7302,-14.2886,-11.0265,8.3618,8.9111,-67.3218,201155.0
-1.2989,-13.8708,-11.7843,-20.6299,-26.1841,-67.9321,211165.0
-1.3671,-16.6205,-13.8912,-35.0952,-46.6309,-67.5659,221180.0
-0.6835,-16.4601,-12.8401,-26.1841,-73.9746,-63.0493,231191.0
-0.2789,-14.3233,-9.5553,-5.0659,-111.7554,-49.1943,241195.0
-0.0551,-10.7081,-4.0462,20.874,-141.0522,-35.4004,251201.0
0.1006,-7.5465,3.7158,32.2266,-160.4004,-29.6021,261213.0
1.3659,-4.0845,15.2044,25.1465,-136.3525,-35.5835,271222.0
1.7729,-3.286,19.3068,12.085,-105.896,-43.457,281231.0
1.913,-3.049,21.2665,-0.6714,-69.458,-53.2837,291242.0
1.7035,-4.5741,21.1935,-11.3525,-28.1372,-64.6362,301254.0
1.6316,-9.8126,19.8503,-23.9258,37.2314,-69.7021,311257.0
0.4812,-13.2483,16.9845,-14.1602,63.2324,-47.9736,321265.0
-0.2598,-11.1342,12.9,-4.2114,90.8813,-27.3438,331283.0
-1.3479,-9.5062,7.6064,-4.2725,113.5254,-19.165,341290.0
-2.2134,-7.9978,0.8416,-6.5308,126.9531,-22.8271,351297.0
-2.9485,-9.329,-5.0194,-4.5166,107.3608,-46.1426,361307.0
-3.0933,-13.1035,-11.5436,8.5449,81.7261,-52.6733,371310.0
-2.9473,-13.5512,-11.977,22.9492,51.9409,-46.6309,381316.0
-2.393,-15.9777,-11.6981,27.4658,24.9023,-41.9922,391323.0
-1.6065,-17.528,-9.4798,23.6206,0.3052,-28.8086,401331.0
-0.9409,-16.9881,-7.1491,20.874,-30.3345,16.2964,411343.0
0.0215,-11.7902,-2.6205,29.7852,-40.1001,32.7148,421348.0
0.2155,-9.1399,0.4681,30.1514,-47.9126,39.2456,431351.0
0.5866,-7.5346,1.8998,27.771,-47.8516,35.5225,441362.0
0.7769,-7.683,2.7857,22.8882,-45.2881,24.353,451369.0
1.1253,-8.825,4.203,16.7236,-45.7764,9.9487,461373.0
1.1887,-9.4523,7.0737,17.8833,-42.9077,13.4888,472460.0
1.142,-9.1387,7.762,19.043,-35.0342,16.9678,482464.0
1.0918,-8.6299,7.6962,17.0288,-23.8037,19.7144,492471.0
0.9984,-8.2109,7.1922,11.1694,-12.8174,21.6675,502473.0
