acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
-6.8702,-10.2436,-13.878,-27.832,128.7842,116.9434,110045.0
-7.3861,-9.1279,-19.7378,-53.0396,74.2798,79.3457,120049.0
-6.5721,-9.3362,-26.0178,-44.3115,30.4565,59.6313,130049.0
-5.1547,-9.2883,-24.4711,-21.3623,-21.0571,44.2505,140054.0
-4.9728,-9.4427,-23.3375,14.3433,-67.1997,33.5083,150060.0
-2.0782,-8.4455,-12.2499,71.7773,-121.2769,35.2783,160067.0
-1.2091,-7.9727,-5.1368,114.1357,-144.2871,37.5977,170067.0
2.1105,-6.4212,11.2767,93.1396,-126.1597,51.0864,180069.0
3.4692,-3.5937,15.0188,53.7109,-94.6045,58.8989,190076.0
3.6655,-2.2661,15.3827,11.2305,-52.124,53.0396,200081.0
3.9923,-0.7673,13.9151,-14.5874,-15.0757,36.6821,210085.0
4.0282,-1.4605,13.5823,-28.0762,29.3579,-17.9443,220092.0
3.9181,-5.0673,11.6023,-21.3013,48.4619,-40.4663,230092.0
3.2645,-7.7943,10.2053,-12.6343,64.6362,-57.9834,240098.0
2.8323,-10.5093,7.5657,-7.1411,79.2847,-66.4063,250101.0
2.1213,-13.471,4.2413,-6.6528,90.332,-66.6504,260108.0
0.9218,-16.1369,0.4154,-9.8267,95.8252,-39.3066,270112.0
-1.6759,-18.7801,-6.7876,-20.3247,88.9282,-17.8223,281209.0
-2.3487,-18.8675,-9.8162,-12.8784,78.125,1.4648,291210.0
-3.0562,-16.2052,-11.4203,3.9673,61.2183,23.3154,301218.0
-3.1077,-14.3269,-10.8876,17.1509,41.748,31.8604,311221.0
-2.721,-11.9291,-7.677,29.9683,9.3384,34.3018,321224.0
-0.6261,-10.8086,-5.8203,29.1748,-0.3662,35.2783,331229.0
0.2801,-10.1227,-4.6136,22.7051,-4.5166,37.2925,341236.0
1.0726,-9.0537,-3.9157,17.2119,-6.3477,40.1611,351242.0
1.6005,-7.7704,-3.3818,13.9771,-8.9111,43.335,361242.0
1.8567,-6.8235,-2.0925,10.1929,-17.0288,40.1611,371245.0
1.9632,-5.1918,-1.0511,9.5825,-20.9961,33.02,381247.0
2.0183,-4.628,-0.3424,8.9111,-23.2544,24.0479,391253.0
1.9896,-4.8985,0.3508,8.0566,-23.6816,11.9019,401254.0
1.9249,-5.4791,0.972,6.0425,-22.8271,0.3662,411256.0
2.0674,-6.4296,0.8547,0.8545,-16.2964,-15.3198,421262.0
2.2338,-8.6095,0.7147,0.8545,-15.1367,-19.165,431267.0
2.1943,-9.5074,0.7829,2.1973,-12.6953,-20.5078,441271.0
2.1548,-9.9551,0.1437,4.1504,-8.4839,-19.7754,451272.0
2.0219,-10.2807,-0.4764,6.1646,-5.7373,-18.3716,461273.0
1.8938,-10.6841,-0.6704,11.4136,-4.8828,-16.0522,471278.0
1.7957,-11.2767,-1.2689,12.5122,-4.4556,-13.916,481282.0
1.7095,-11.4503,-1.1313,11.9629,-4.8828,-10.376,491288.0
1.573,-11.3665,-0.8835,9.4604,-4.6997,-5.7373,501291.0
