acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
0.4058,-37.8021,0.3519,-6.0425,-118.6523,-93.3838,110036.0
0.0539,-32.6521,0.753,36.2549,-112.2437,-5.249,120039.0
-0.9002,-27.4675,1.494,76.1108,-103.4546,118.5303,130043.0
-2.2146,-16.8109,9.7851,75.7446,-84.2285,156.5552,140045.0
-2.5223,-12.6055,8.8095,57.7393,-41.626,176.5747,150053.0
-3.626,-7.8865,8.1786,40.0391,-9.3994,181.2744,160059.0
-4.361,-0.4489,6.6858,46.1426,14.1602,173.0347,170060.0
-3.2705,6.523,4.9883,60.6689,41.3208,82.5195,180065.0
-1.1001,5.5198,12.9957,39.7339,52.063,20.6909,191161.0
-0.5638,0.5734,17.2323,37.7197,81.4209,-28.1982,201168.0
-0.1317,-2.6659,17.5016,42.3584,131.0425,-54.5044,211175.0
-0.1975,-5.6731,16.8468,33.6304,177.7344,-67.1997,221177.0
-0.5914,-11.2312,0.7925,-17.8833,257.2021,-75.8057,231180.0
0.2777,-19.7103,-9.839,-82.8857,259.9487,-82.5195,241182.0
0.4405,-28.4766,-14.0348,-116.0889,214.1113,-70.8008,251190.0
-0.0634,-29.0357,-15.1254,-74.4629,151.9165,-13.3667,261201.0
-1.0056,-23.5362,-14.6633,-0.2441,96.0693,57.373,271211.0
-2.4337,-11.0708,-6.0633,35.4614,9.0332,122.7417,281230.0
-3.1747,-7.5346,-4.3431,2.6245,3.6621,119.2627,291244.0
-2.3284,-5.6802,-4.1671,-32.5317,7.6294,100.4028,301265.0
-1.1408,-4.5801,-4.3084,-56.2134,11.5356,79.4678,311281.0
0.5112,-4.4748,-3.8152,-63.3545,10.2539,58.1055,321301.0
2.0255,-4.4568,-4.61,-44.4946,4.1504,30.4565,331314.0
2.2661,0.1796,-3.1687,-23.0713,-10.8032,19.6533,341338.0
1.8148,4.9428,-1.883,-5.9814,-24.1699,-0.7324,351352.0
0.7913,8.2121,0.68,2.7466,-35.7056,-39.978,361352.0
0.0263,8.922,2.3691,-1.4038,-40.4663,-93.75,371354.0
-0.8882,6.7277,3.0514,-13.1836,-30.7617,-205.3223,381359.0
-2.1153,-0.6357,3.5291,-4.2725,-23.8037,-243.8965,391360.0
-3.1663,-4.5059,1.7454,12.207,-16.6016,-265.0146,401365.0
-3.0502,-10.9044,-2.326,16.4185,-13.3667,-276.7334,411371.0
-3.65,-20.6991,-2.9628,-4.6997,-26.001,-278.5034,421373.0
-3.4129,-28.5485,-1.0307,-20.2637,-60.1807,-192.8101,431376.0
-3.553,-30.6925,2.6576,0.8545,-58.7769,-120.9717,441377.0
-3.6823,-27.7189,3.553,22.8271,-49.9268,-56.8237,451380.0
-3.7792,-25.0433,3.1711,32.8369,-36.377,-6.5918,461387.0
-3.9504,-22.7162,4.3658,36.5601,-25.9399,35.3394,471390.0
-4.276,-18.4713,5.0338,29.6631,10.0098,99.1211,481396.0
-4.2641,-8.4467,-0.1353,23.1323,25.8179,109.9243,491397.0
-3.2322,-4.4161,-2.5774,17.395,27.8931,104.9805,501400.0
