acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
-4.2641,-18.9597,2.0111,14.3433,-9.3994,-2.6245,110035.0
-3.626,-16.2686,1.1289,15.9302,0.2441,29.9072,120039.0
-3.5374,-13.5189,0.9601,4.2725,11.5356,70.6177,130047.0
-3.1388,-5.5857,-0.6835,2.0142,17.9443,74.8291,140051.0
-2.9125,-2.302,-2.4708,4.8828,19.104,64.209,150058.0
-2.3439,-1.2498,-2.958,7.6904,9.7046,41.9312,160069.0
-2.138,-2.6624,-2.484,7.6294,-1.6479,15.564,170088.0
-2.1476,-4.865,-1.8842,6.4697,-18.0054,-15.2588,180088.0
-2.5019,-9.6905,0.68,4.8218,-21.8506,-18.7988,190098.0
-2.7473,-11.0852,1.4712,2.9297,-20.2637,-14.7095,200122.0
-2.9556,-11.333,1.901,2.9297,-16.2964,-5.249,210128.0
-3.2094,-11.1941,1.5167,2.8687,-10.376,4.5166,220129.0
-3.45,-10.7368,1.4688,1.77,-5.249,19.4702,230146.0
-3.8702,-8.3905,1.0594,2.6245,-2.4414,22.1558,240148.0
-3.9444,-7.3682,0.6776,4.4556,-0.9155,18.6768,250156.0
-4.0785,-7.2712,0.8356,3.1128,-2.0752,10.2539,260172.0
-4.027,-8.0912,0.826,2.3193,-1.1597,0.0,270174.0
-3.9792,-9.2201,0.5602,2.6245,2.1362,-9.0332,280190.0
-3.8547,-11.2013,-0.1281,1.0986,2.9907,-8.3618,291290.0
-3.7266,-11.8489,-0.4657,1.77,3.0518,-4.2114,301290.0
-3.6428,-11.6705,-0.5327,2.9907,1.4648,3.6011,311291.0
-3.6416,-10.7081,0.0455,4.5166,-1.0986,12.7563,321292.0
-3.5506,-8.5413,0.5088,3.1738,1.77,19.7144,331295.0
-3.3914,-7.7704,0.2981,-0.7935,4.4556,16.8457,341296.0
-3.1915,-7.5094,-0.3783,-2.6855,6.2866,11.3525,351297.0
-3.0754,-8.017,-0.6776,-2.0142,5.6152,4.7607,361304.0
-3.0107,-8.3139,-0.8571,-1.4648,2.6855,0.7935,371304.0
-2.988,-9.08,-0.5806,2.2583,-3.9673,-3.2959,381312.0
-3.0502,-9.2464,-0.091,4.5776,-6.1035,-2.8076,391316.0
-3.1113,-9.4284,0.2274,5.0049,-6.1035,-2.2583,401319.0
-3.1903,-9.651,0.2801,2.8687,-4.3945,-1.77,411335.0
-3.2932,-9.7205,0.0024,0.8545,-2.1973,-0.7935,421338.0
-3.3579,-9.73,-0.1748,0.0,-2.1973,1.6479,431338.0
-3.4872,-9.7552,-0.1592,0.4883,-3.54,2.6245,441359.0
-3.5314,-9.5684,0.0012,1.5259,-4.7607,3.6621,451365.0
-3.5458,-9.432,0.0862,2.5635,-5.5542,3.7231,461366.0
-3.5566,-9.5636,0.2382,2.0752,-5.7983,3.1128,471377.0
-3.5733,-9.845,0.6452,1.2207,-4.6387,3.3569,481377.0
-3.5626,-9.8725,0.6141,0.4883,-2.5024,4.3945,491381.0
-3.5291,-9.9168,0.3831,0.2441,-0.6714,5.3101,501405.0
