acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
-1.8759,-27.5896,-6.8247,-59.2651,-132.8125,-305.9082,110044.0
-1.057,-29.4499,-3.6919,-39.7339,-164.0015,-242.0044,120045.0
-0.8894,-29.3948,-1.5024,-6.5918,-179.7485,-174.5605,130047.0
-1.3958,-22.9784,6.262,74.1577,-188.1714,-53.0396,140054.0
-2.1452,-18.2642,9.2524,103.3325,-171.2646,-11.6577,150060.0
-2.2972,-15.2738,11.558,112.915,-146.9116,11.1084,160062.0
-2.1895,-12.7479,13.4626,97.9614,-117.6147,24.1699,170069.0
-2.302,-12.8784,12.123,64.9414,-76.7212,29.2358,180076.0
-2.1727,-15.8017,5.8287,16.5405,-20.0806,31.6162,190082.0
-2.2541,-15.9597,3.6356,16.8457,-12.3291,44.0674,200084.0
-2.4313,-14.4251,2.6372,31.6162,-11.9019,60.8521,210084.0
-2.7557,-12.0189,3.2106,50.9644,-16.2964,73.7305,220089.0
-2.5809,-9.5996,3.5075,66.6504,-18.1885,78.9795,230096.0
-2.1404,-7.0162,3.3758,56.7017,-14.2212,66.5894,240101.0
-1.8447,-6.8438,4.063,42.3584,-13.3667,55.8472,250103.0
-1.5538,-6.9061,3.8738,29.2358,-6.8359,45.2881,260108.0
-1.3132,-7.0102,3.3399,18.9819,-0.061,36.9873,270116.0
-1.0918,-7.4472,2.6983,9.2773,5.4932,29.4189,280117.0
-0.9601,-8.1558,0.1053,-3.418,11.6577,19.043,290118.0
-0.5866,-8.5413,-0.6261,-4.5166,7.6904,15.686,300118.0
-0.4729,-8.7724,-0.2921,-2.3193,-1.0376,13.6108,310122.0
-0.3735,-9.0082,0.3627,1.3428,-6.8359,12.085,320130.0
-0.3651,-9.2189,1.063,2.9297,-10.0708,10.2539,330130.0
-0.2717,-9.6055,1.3838,1.77,-7.6904,6.1035,340132.0
-0.079,-10.0688,1.342,-1.5869,-5.9204,4.6387,350137.0
-0.0204,-10.6482,1.1588,-4.0283,-3.9062,4.2114,360137.0
0.0036,-11.169,1.1911,-3.6011,-2.0752,5.7373,370137.0
0.0766,-11.224,1.4006,-0.5493,-0.7324,9.8877,380140.0
0.0491,-11.0947,1.1408,1.9531,4.8218,18.7988,390143.0
-0.1233,-10.2771,0.6261,0.9155,7.1411,21.6675,400146.0
-0.2071,-9.8222,0.0706,0.9155,8.1177,22.7051,410153.0
-0.2478,-9.2129,-0.34,2.6245,6.3477,22.9492,420153.0
-0.2969,-8.8442,-0.6225,5.188,3.1738,21.1182,430160.0
-0.2945,-8.7915,0.3915,6.6528,-5.5542,14.4043,440167.0
-0.2119,-9.0453,0.5016,5.7373,-6.0425,11.1694,450168.0
-0.0658,-9.6594,0.3675,3.8452,-5.4321,8.0566,460175.0
0.0359,-10.1718,0.6021,2.3193,-6.1646,6.5918,470177.0
0.0838,-10.3046,0.5136,3.6621,-6.2256,8.1787,480181.0
0.1317,-10.3956,0.2993,8.4839,-6.958,12.0239,490187.0
0.1305,-10.307,0.6117,11.6577,-8.3008,14.5264,500187.0
