acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
-3.863,-39.2218,21.5287,-61.9507,-187.5,-260.0708,110032.0
-1.8555,-39.2218,28.8717,-43.335,-131.4087,-86.2427,120039.0
-4.3299,-39.2218,31.6047,17.0288,-73.7915,67.9932,130044.0
-6.3195,-26.517,29.1111,60.4248,16.1133,187.6831,140046.0
-7.0473,-18.154,24.5178,44.3115,162.4146,232.0557,150050.0
-9.1925,-5.3905,18.409,19.4092,210.083,229.248,160052.0
-7.4675,-1.1851,9.4116,-23.1934,259.2163,198.0591,170054.0
-5.6659,-3.8978,-0.3519,-74.8291,289.0015,136.1084,180054.0
-2.9305,-7.1144,-5.6479,-97.5342,266.4795,89.1113,190058.0
-0.7087,-9.5241,-9.8414,-99.3042,194.2139,67.1387,200066.0
2.1512,-9.3158,-16.1788,-50.5371,145.5688,75.8667,210066.0
2.7988,-7.1778,-15.6856,-16.3574,87.6465,83.9233,220066.0
2.5391,-4.7309,-13.4722,17.7002,30.8838,85.5713,230071.0
2.0518,-2.7019,-10.4363,41.687,-17.8833,80.3833,240076.0
1.7921,-1.6484,-7.4113,51.0864,-87.3413,48.584,250078.0
1.0463,-1.731,-3.8439,22.4609,-103.2104,24.4141,261169.0
1.5754,-2.6432,-1.8519,7.1411,-120.6665,2.1973,271173.0
1.0678,-3.6799,0.413,5.5542,-134.0942,-12.4512,281173.0
0.6428,-2.2697,4.3742,3.0518,-142.2729,-23.7427,291178.0
-0.249,1.7657,16.3823,41.5039,-132.0801,-61.8286,301185.0
-0.7841,2.0159,20.1233,63.5986,-94.6045,-94.4824,311191.0
-1.1552,2.1464,22.1739,67.627,-42.0532,-125.6104,321198.0
-1.6077,1.6029,24.1862,53.1006,6.5308,-157.8369,331200.0
-2.0554,0.1006,22.0949,32.5928,60.3638,-188.6597,341207.0
-2.6073,-2.6887,9.2213,-12.5122,149.292,-233.8867,351212.0
-0.6919,-17.0108,3.0011,-26.001,154.2358,-231.2622,361219.0
-0.0383,-24.13,-2.4756,-24.1089,144.4702,-206.7871,371219.0
0.6991,-26.8043,-8.0936,1.5259,126.8921,-156.9824,381221.0
1.1169,-24.3107,-10.8781,39.4897,93.9331,-95.3979,391223.0
0.911,-20.6931,-11.6382,70.8618,12.2681,-21.6064,401226.0
-1.245,-13.8612,-0.9469,72.5708,-25.5127,-0.8545,411228.0
-2.1009,-9.0956,2.0482,54.8096,-32.8369,15.3809,421234.0
-2.4014,-7.5274,2.9209,26.5503,-24.5972,9.0942,431237.0
-2.3379,-8.2229,3.4237,6.4697,-20.6909,-5.188,441241.0
-1.9609,-9.4499,2.9137,-3.1738,-13.0005,-15.8081,451248.0
-0.6991,-12.4989,1.5754,-3.418,-16.4185,-12.9395,461255.0
-0.1257,-13.465,1.7286,-3.1738,-22.0337,-3.9062,471256.0
0.0754,-13.9235,2.9652,-1.2207,-28.1982,9.2773,481261.0
0.1329,-12.8952,4.4604,1.4038,-29.48,26.2451,491269.0
0.0024,-11.2228,5.4061,-3.6621,-13.9771,43.457,501270.0
