acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
-8.7448,11.9614,-10.4291,3.6621,14.6484,-472.4731,110034.0
-11.8333,2.4146,-10.6554,-27.3438,-87.7075,-554.3823,120036.0
-11.3174,-21.3838,-4.2365,-32.7148,-138.3057,-551.5137,130041.0
-9.4679,-33.7331,5.3151,-47.4854,-179.2603,-515.3809,140041.0
-6.7062,-39.2218,15.3552,-46.3867,-188.2935,-441.2231,150045.0
-3.632,-39.2218,21.1049,-23.3765,-151.2451,-334.4727,160048.0
-1.8112,-39.2218,22.4492,8.667,-6.6528,-102.1118,170053.0
-2.4541,-31.6801,20.0131,21.1182,41.9922,-14.2822,181143.0
-4.446,-19.6121,18.6664,34.9121,92.3462,55.481,191150.0
-5.3858,-9.0656,13.8493,54.9927,147.0337,85.5713,201151.0
-5.0063,-2.6659,9.645,60.2417,186.4014,73.0591,211158.0
-3.7481,-0.3316,-1.1468,26.3062,209.5947,6.5918,221160.0
-1.0104,-4.8303,-3.8559,13.916,187.3779,-26.6113,231167.0
0.0156,-8.9256,-7.4543,11.6577,161.2549,-40.4053,241175.0
0.8511,-11.9626,-9.3494,16.3574,127.8076,-37.2925,251182.0
1.2378,-13.2782,-9.3829,22.7661,88.8062,-23.9258,261182.0
1.2665,-13.4578,-4.045,35.2783,26.1841,9.2773,271183.0
0.6117,-9.6798,-1.6628,35.4614,15.1367,22.1558,281183.0
0.0778,-7.1838,0.8416,29.6631,11.2915,25.1465,291188.0
0.0072,-5.5617,1.0642,23.7427,11.7187,19.6533,301189.0
0.1652,-5.6874,-0.1484,20.2026,13.1836,6.8359,311194.0
0.1652,-6.9276,-0.7015,14.7705,-7.3853,-12.8174,321202.0
-0.0108,-9.8234,0.7434,14.0991,-19.2261,-15.9302,331204.0
-0.1592,-11.5185,2.3774,10.6812,-28.0762,-15.686,341205.0
-0.2358,-12.7934,3.8152,7.019,-30.7007,-11.2305,351213.0
-0.2586,-13.0819,4.3024,6.0425,-25.7568,-2.7466,361220.0
-0.3472,-12.5576,4.221,6.7139,-9.5215,13.9771,371220.0
-0.3843,-10.4028,3.0311,5.0659,-1.4038,18.4326,381226.0
-0.2119,-9.7588,1.9094,3.3569,2.8076,18.1885,391228.0
-0.1018,-9.3302,1.057,3.1128,1.3428,16.4185,401234.0
-0.0036,-9.0429,0.8452,4.4556,-3.2959,14.8315,411239.0
0.0323,-9.0692,1.1791,5.3101,-11.3525,11.7187,421243.0
0.1688,-9.5409,1.4844,4.6387,-11.4746,11.0474,431247.0
0.231,-10.0341,1.5802,4.0894,-12.3901,11.0474,441249.0
0.2442,-10.3501,2.0087,4.2725,-13.2446,13.1836,451255.0
0.1365,-10.2999,2.4193,3.6621,-12.5732,16.6016,461263.0
0.0634,-9.821,2.4074,2.5635,-6.958,20.2026,471265.0
0.067,-8.8969,1.6305,0.8545,-5.4932,19.2261,482356.0
0.1161,-8.3941,1.2354,2.1973,-5.9204,16.9678,492356.0
0.1664,-8.1882,1.4293,3.6621,-7.6904,12.8174,502357.0
