acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
4.537,-7.8733,5.1691,-45.4102,30.3345,64.4531,111115.0
4.0007,-5.4815,5.6826,-56.3965,36.1328,68.9087,121116.0
3.0993,-1.2977,6.1938,-71.8384,45.4712,65.3076,131122.0
2.5965,3.8559,3.0694,-90.6372,62.8662,44.4336,141126.0
3.7314,10.331,-5.5749,-93.3838,72.4487,0.4883,151128.0
4.0797,16.4901,-13.5608,-88.6841,-9.9487,-135.437,161130.0
1.1169,16.1537,-14.267,-85.4492,-65.918,-229.5532,171132.0
-2.1512,6.5912,-8.5569,-61.0962,-131.0425,-307.0068,181133.0
-4.3993,1.1444,-4.7992,-1.2207,-170.7764,-331.665,191148.0
-5.8993,-4.2353,-6.0071,48.0347,-177.4902,-329.834,201171.0
-6.2477,-15.5647,-7.088,18.6768,-238.7085,-325.7446,211174.0
-6.0885,-39.2218,18.6137,-22.2778,-293.2129,-278.5034,221192.0
-5.6635,-39.2218,38.5598,-35.6445,-289.5508,-171.814,231215.0
-5.8993,-39.2218,39.2218,-28.0762,-179.1382,-31.7993,241219.0
-8.4731,-39.2218,39.2218,-35.7056,-29.8462,93.5669,251229.0
-10.9654,-29.5768,36.2051,-57.9224,199.9512,252.0752,261250.0
-10.9188,-6.6451,16.6924,-102.417,257.5073,255.249,271250.0
-7.8781,1.6017,5.9891,-141.6626,296.6309,218.1396,281277.0
-3.1532,14.6262,-14.2443,-132.3853,316.3452,178.894,291301.0
2.2996,28.5269,-27.598,-87.1582,248.8403,128.9673,301326.0
3.1915,27.2149,-26.2464,20.6909,-48.2178,-101.5015,311328.0
-0.3962,5.0075,-2.7773,85.2661,-122.4365,-166.687,321357.0
-0.6309,-0.662,8.2899,125.4272,-140.3198,-191.8335,331382.0
-0.3615,0.5423,15.5348,132.9346,-113.7085,-189.0869,341384.0
-0.4441,-2.6588,19.0375,74.0356,-55.0537,-209.3506,351413.0
0.7829,-13.21,14.133,-116.7603,92.1631,-252.6245,361443.0
1.5048,-29.4343,-0.82,-125.8545,110.3516,-203.9185,371450.0
-0.1496,-16.2183,-8.1128,-52.063,98.8159,-110.2905,381462.0
-1.336,3.389,-16.4853,51.2695,63.9038,-61.4014,391486.0
-3.152,12.9407,-22.5809,97.1069,1.8921,-100.769,401489.0
-5.4324,8.2097,-17.6884,79.6509,-202.9419,-259.0332,411503.0
-9.0034,-6.6463,9.3529,70.4346,-241.1499,-281.5552,421532.0
-7.9847,-15.5001,13.9139,44.4336,-217.2852,-283.5693,431536.0
-6.0729,-29.0129,15.5623,-6.958,-173.4009,-274.5972,441551.0
-4.0785,-39.2218,19.1632,-51.3916,-141.7847,-232.1167,451573.0
-2.9173,-39.2218,19.2458,-59.8145,-34.4849,-29.2358,461579.0
-3.2908,-29.5552,10.75,-21.2402,6.0425,69.0308,472677.0
-5.0542,-18.8579,12.1961,-6.1646,19.165,139.8926,482681.0
-6.377,-4.6914,11.2527,18.9209,36.5601,179.4434,492683.0
-6.1304,6.6044,3.9804,33.3862,67.627,168.6401,502686.0
