acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
-5.4576,17.9062,-0.668,0.0,-39.3677,-324.4629,110060.0
-9.013,11.7591,-0.2873,-4.2114,-46.6919,-415.3442,120063.0
-10.8613,2.2063,-2.9425,-18.8599,-47.1191,-476.5625,130064.0
-10.2723,-10.5752,-6.8259,-34.3628,-60.1196,-505.0049,140064.0
-6.8905,-25.7353,-8.0074,-75.3174,-145.9961,-436.2183,150064.0
1.6819,-39.2218,8.679,-71.3501,-189.0259,-325.0732,160072.0
3.8642,-39.2218,18.5694,-35.7666,-185.6079,-184.8755,170079.0
3.7673,-39.2218,23.049,9.0942,-137.146,-47.3022,180108.0
2.5869,-34.8488,22.5007,18.9209,-68.7256,57.4951,190110.0
0.9661,-30.8026,22.697,-60.4248,36.0107,167.1753,200141.0
-2.4648,-25.3247,16.2327,-96.3745,94.9707,198.6084,210165.0
-3.4081,-23.4021,13.0831,-116.2109,137.2681,223.7549,220171.0
-4.9416,-15.6581,10.2963,-102.8442,167.1143,253.418,230191.0
-7.0737,-1.0666,1.2103,-54.5044,192.3828,269.6533,240219.0
-5.2792,14.9135,-10.7655,-17.2119,126.9531,156.7383,250219.0
-1.8962,24.6435,-7.3047,-45.8984,43.6401,44.0674,260240.0
-3.456,25.1571,-0.8368,-46.2036,-4.2725,-54.0771,270269.0
-4.0055,19.4744,2.3128,-18.9819,-13.6108,-147.522,280276.0
-4.3814,10.6566,3.2082,-4.2725,-1.2817,-231.6284,290299.0
-4.294,9.8222,4.1432,4.8828,22.0947,-305.603,300327.0
-2.2721,-7.3658,-3.4524,-55.1758,27.3438,-348.6328,311417.0
-0.68,-20.0778,-1.5957,-87.4023,-3.7842,-349.4263,321422.0
1.2151,-27.1395,0.2454,-65.6738,-38.4521,-289.917,331427.0
1.7083,-34.8739,0.6045,-39.4897,-46.0815,-222.29,341429.0
1.2198,-32.4366,14.9781,32.8979,-74.9512,-50.5981,351433.0
0.1018,-33.5224,17.3747,19.4092,-39.6729,4.0283,361458.0
-0.2286,-34.6513,17.6357,-13.916,4.8218,49.8047,371465.0
-0.9565,-33.8803,15.6545,-33.9355,48.8281,104.0039,381499.0
-1.3096,-32.0201,12.3433,-43.8843,91.6138,160.2783,391532.0
-2.4421,-16.8468,5.2253,-11.6577,151.123,267.9443,401540.0
-4.1348,-7.4855,0.4681,6.2256,166.4429,289.6118,411569.0
-3.6739,1.1109,-2.6169,31.5552,154.9683,282.8369,421569.0
-2.3284,8.0732,-5.7365,47.3022,133.3008,257.019,431573.0
-0.9182,10.9271,-6.9085,48.8281,100.769,209.4116,441579.0
0.2717,9.6762,-2.2984,40.6494,25.1465,100.4028,451580.0
1.8771,-0.5842,-0.7697,42.4805,9.0332,69.0308,461582.0
2.2087,-2.8934,1.1097,52.9175,-2.4414,62.1948,471590.0
2.1991,-2.6264,2.7174,61.6455,-8.606,65.1245,481591.0
2.1883,-0.5902,2.824,62.0117,-8.667,63.8428,491598.0
2.3116,0.4022,1.6376,44.9829,-15.0757,17.1509,501601.0
