acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
0.0946,-31.8537,14.953,-31.4331,82.3364,-193.0542,111117.0
3.8726,-32.2894,10.0892,-22.9492,112.915,-112.4268,121121.0
3.9157,-32.1865,8.163,-37.9028,123.1079,-36.8652,131125.0
2.8359,-27.4483,7.0413,-64.1479,123.7183,35.2783,141140.0
2.405,-25.2816,0.2263,-93.5669,136.7187,85.2661,151144.0
2.1811,-21.4508,-9.8797,-146.7896,105.896,151.062,161156.0
2.5139,-14.0815,-9.9683,-166.3818,70.2515,163.208,171189.0
2.6061,-10.9307,-12.5277,-169.6167,48.3398,165.3442,181189.0
2.6432,-7.7285,-12.2523,-152.4658,19.7754,161.377,191216.0
2.4672,-6.0597,-10.1059,-118.6523,-15.0146,156.0669,201239.0
1.3827,-2.9987,-7.3334,-28.7476,-59.6313,150.4517,211244.0
0.2418,4.7788,0.9673,7.019,-64.6362,130.3711,221272.0
0.7374,4.4005,1.2103,19.5313,-56.3354,96.9238,231298.0
1.1995,3.4632,1.6328,10.1929,-56.3354,65.0024,241301.0
1.7693,0.6728,3.3052,-10.3149,-64.0259,34.3628,251329.0
2.2889,-2.1009,5.8598,-13.2446,-68.9087,0.6104,261357.0
3.073,-5.9556,9.1087,7.5684,-61.2793,-3.54,271358.0
3.2765,-6.541,10.0389,35.7056,-53.894,-5.7373,281381.0
3.4536,-8.278,10.4974,56.2134,-43.7622,-14.0991,291408.0
3.7194,-10.3022,10.2113,65.2466,-33.5693,-22.7051,301413.0
3.9301,-12.4906,9.5996,39.6729,-15.686,-28.2593,311430.0
4.1958,-16.2997,9.183,18.9819,-7.0801,-18.8599,321449.0
4.0055,-15.2211,7.7297,4.6997,5.8594,-0.061,331475.0
3.6464,-12.2535,5.9209,1.0376,18.6768,20.3857,341477.0
3.4716,-9.8043,4.0558,4.9438,27.1606,33.2642,351510.0
3.3639,-7.7871,2.3212,16.9678,29.6631,39.2456,361535.0
3.2477,-4.4999,0.2634,20.3857,26.001,35.2173,371535.0
3.371,-3.7266,-0.0048,21.9116,19.8975,26.9165,381558.0
3.5674,-3.9014,0.4657,16.4795,11.5356,15.0146,391587.0
3.8618,-4.9321,0.9457,7.5684,5.127,2.8687,401594.0
4.1432,-6.3434,1.4461,2.6245,-1.8311,-8.4839,411611.0
4.4496,-8.9196,2.897,7.6904,-3.8452,-7.8735,421641.0
4.47,-9.4739,3.8714,15.1367,-4.2725,-4.0283,431645.0
4.4424,-9.4415,4.2497,23.4985,-1.1597,1.4648,441666.0
4.4065,-8.9148,3.7194,29.0527,4.2725,6.5308,451696.0
4.4005,-8.6491,3.4117,26.4282,3.418,4.2725,461696.0
4.2772,-9.6714,3.6871,8.1787,2.7466,2.3193,471712.0
4.1503,-9.7947,3.887,8.9111,2.9907,4.5776,481735.0
4.0127,-9.4188,3.9337,15.3198,4.0894,9.0942,491738.0
3.8463,-8.7161,3.6021,24.5972,6.7139,13.6719,501748.0
