acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
-5.1404,3.7553,4.792,-45.8374,176.8799,212.5854,111135.0
-3.6823,8.989,7.0988,-49.1943,163.3911,172.4243,121138.0
-2.2625,13.0652,4.8171,-67.1387,175.6592,117.6758,131140.0
-0.832,13.5201,-1.1899,-98.0225,193.5425,44.4946,141141.0
0.8344,10.6578,-7.9835,-118.042,187.2559,-33.3862,151144.0
1.6316,6.8103,-12.0117,-72.8149,93.0176,-141.3574,161150.0
1.8292,1.9872,-10.7727,-21.7896,41.3818,-172.7295,171155.0
1.2881,-1.8028,-10.7236,7.2021,7.3242,-198.7305,181162.0
1.2905,-7.6866,-11.3222,16.6016,-22.7051,-214.0503,191162.0
1.5251,-16.2973,-8.7472,12.085,-60.9741,-216.5527,201164.0
2.2517,-23.5242,1.7729,27.5269,-119.6899,-123.6572,211171.0
1.4389,-21.6544,5.6898,45.5322,-118.2861,-52.9175,221178.0
1.0582,-18.7454,8.1965,47.4243,-106.3843,-9.3384,231181.0
0.2693,-17.3616,10.137,29.6021,-91.3696,9.5215,241181.0
-0.1568,-16.0711,11.315,11.8408,-74.0967,21.1182,251186.0
-0.4322,-15.0093,10.4686,-3.54,-33.2642,31.0669,261187.0
-0.5411,-12.3313,7.9308,-0.7324,-23.4985,35.4614,271188.0
-0.3567,-10.835,6.5434,4.3945,-16.4795,37.7197,281192.0
-0.097,-9.8569,5.6336,12.7563,-15.7471,37.2314,291199.0
0.0694,-8.3342,5.6575,22.583,-18.4937,39.7949,301207.0
0.1844,-6.6738,5.8,29.1138,-15.8691,40.8325,311210.0
0.6416,-4.6292,5.369,24.9023,-12.0239,36.2549,321215.0
1.0151,-4.4927,5.0901,18.3105,-9.7656,28.7476,331215.0
1.306,-4.5394,4.8746,13.9771,-8.3008,21.3623,341216.0
1.5526,-4.6424,4.373,11.5356,-6.5308,14.7705,351220.0
1.6747,-4.9584,3.711,13.0615,-7.0801,-0.2441,361221.0
1.7394,-7.1826,3.717,16.2354,-12.085,-5.4321,371224.0
1.7286,-8.1499,4.4951,18.6768,-17.0898,-7.6904,381229.0
1.7238,-9.2512,4.8902,18.1274,-17.334,-8.8501,391235.0
1.6257,-10.0341,5.6108,17.0898,-15.7471,-8.1787,401243.0
1.4928,-10.6303,6.2884,12.207,-4.1504,-1.4648,411251.0
1.3575,-11.1055,6.0334,9.1553,3.9673,3.9062,421254.0
1.2833,-11.0456,5.3283,3.6621,12.2681,8.728,431257.0
1.172,-10.75,4.3419,-1.4038,18.7988,13.1836,441260.0
1.1408,-10.3944,3.4153,-2.8687,21.1182,16.6016,451266.0
1.1277,-10.0772,2.7162,5.249,16.5405,22.0337,461268.0
1.1349,-8.5533,2.3188,10.1929,12.3291,23.0713,471269.0
1.1408,-7.9272,2.2697,14.3433,8.0566,21.3623,481271.0
1.1432,-7.6638,2.3092,15.9912,4.2114,17.7002,491275.0
1.1791,-7.6004,2.721,16.2354,-0.2441,13.0005,501279.0
