acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
-0.3962,-39.2218,33.7606,-74.2188,-33.3252,-297.1191,111149.0
1.3108,-39.2218,27.1275,-56.5796,50.8423,-146.9116,121157.0
-0.3819,-39.1919,17.7841,-68.2373,138.5498,-21.3013,131157.0
-1.087,-33.192,8.4611,-111.2061,195.8008,139.9536,141159.0
-0.9948,-21.9405,-11.6634,-132.9956,175.5981,174.7437,151163.0
-0.5148,-20.7877,-13.3848,-155.2124,125.4883,184.021,161170.0
-0.8212,-15.3193,-12.3026,-145.813,67.1387,193.1152,171172.0
-0.3711,-10.4603,-13.1178,-103.8818,24.5361,188.1714,181172.0
0.7099,-10.89,-11.8824,-34.729,-59.9976,151.062,191174.0
0.2586,-4.4137,-0.9673,-20.9351,-96.8628,157.959,201177.0
-1.7813,4.7333,5.4684,-23.8647,-110.1685,158.7524,211179.0
-2.8479,15.5611,12.4295,-34.3018,-102.0508,134.5215,221186.0
-2.9365,21.3431,13.5895,-29.7852,-67.3218,72.2656,231191.0
-2.6899,23.2465,11.6454,15.9912,2.3804,-93.5059,241198.0
-5.7485,31.9243,13.9295,45.5933,14.2822,-181.2134,251203.0
-8.0218,26.7085,12.8138,45.7764,33.02,-288.4521,261206.0
-8.7987,6.8055,8.4396,16.9678,53.894,-394.8975,271208.0
-7.4484,-16.8037,5.7138,3.418,51.3306,-445.5566,281209.0
-5.0266,-37.5411,5.0422,77.8809,22.0947,-300.2319,291212.0
-4.1647,-36.2722,7.0928,143.5547,26.9165,-161.0718,301212.0
-5.3822,-26.2021,6.426,157.5317,36.499,-69.3359,311219.0
-5.3642,-19.8587,1.5778,111.6943,48.7671,-35.4004,321221.0
-4.0534,-21.6735,-2.0698,43.396,49.3774,-34.2407,331227.0
-2.5977,-23.4309,-4.458,6.5918,14.7095,5.5542,341229.0
-0.5567,-16.5511,-2.3942,31.0059,-9.1553,34.1187,351230.0
0.249,-13.2651,0.3879,42.0532,-25.0244,50.0488,361243.0
0.7123,-11.1977,2.7509,43.7622,-30.4565,58.7158,371267.0
1.0271,-9.1506,5.454,35.0952,-30.1514,65.0024,381271.0
1.1708,-7.6483,6.2764,15.625,-5.4321,64.1479,391278.0
1.4389,-7.0832,4.1384,-13.1226,4.9438,63.6597,402375.0
1.4126,-5.4648,3.5973,-5.3711,7.5073,67.5659,412377.0
1.2055,-3.0598,3.0083,5.6152,7.0801,67.688,422380.0
1.166,-1.8519,1.6604,16.8457,3.7231,57.4951,432386.0
0.7278,-3.8463,3.6332,31.4941,-18.9819,27.1606,442386.0
0.5531,-5.0673,4.8914,29.7852,-23.4985,18.2495,452391.0
0.3926,-7.5525,4.9991,18.4937,-19.4702,8.667,462394.0
0.3256,-9.9276,5.2792,7.8735,-16.0522,4.2114,472399.0
0.5148,-11.9435,4.6711,5.4932,-9.6436,8.2397,482403.0
0.7697,-13.8361,3.3998,11.3525,-3.6621,35.8276,492406.0
0.3962,-12.7132,3.547,20.3247,-5.4932,55.481,502413.0
