acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
-3.1975,-12.9838,6.4177,-98.5107,143.7988,140.1367,110042.0
-3.3363,-7.5645,6.2776,-63.7207,145.9351,155.5176,120042.0
1.6616,6.6331,4.0833,64.209,160.8887,129.5776,130043.0
3.5051,8.3222,-1.1241,51.8799,170.8984,78.4912,140046.0
4.3203,7.5034,-3.7302,1.709,153.6255,19.2261,150054.0
3.6392,5.0314,-7.0904,-57.9834,130.3711,-34.4849,160056.0
1.7382,2.9784,-9.8809,-89.1724,78.9795,-107.1777,170077.0
-1.4425,-4.2114,-18.0032,-20.0195,52.7344,-135.9253,181183.0
-2.9748,-15.2187,-21.2042,1.709,9.8267,-159.5459,191189.0
-3.8774,-27.9116,-18.1205,-1.1597,-51.4526,-159.0576,201193.0
-4.0139,-32.3157,-9.2536,22.4609,-120.2393,-107.2998,211199.0
-4.4149,-17.115,11.6861,86.853,-160.8887,44.0063,221200.0
-4.0366,-6.9815,22.15,73.1201,-127.6245,66.8335,231203.0
-2.4157,-2.0039,24.8722,41.626,-42.7856,43.0908,241221.0
0.1341,-0.9242,17.9146,18.0664,56.7627,0.8545,251244.0
2.2027,4.3814,13.623,25.4517,107.8491,-24.7803,261262.0
3.8666,13.3644,11.4982,21.8506,113.3423,-101.6846,271284.0
2.8204,14.7088,12.1254,8.8501,106.5063,-175.1709,281299.0
-0.7817,11.2264,10.7416,2.0142,92.5293,-239.502,291319.0
-5.2301,-1.1696,1.0295,-9.1553,100.8301,-297.7295,301339.0
-8.7999,-22.5654,-5.8179,-38.0859,85.3271,-340.8813,311359.0
-10.8433,-39.2218,-4.9931,-9.5825,3.9673,-212.5854,321376.0
-10.7667,-33.2638,-1.1133,61.2793,-2.6855,-67.749,331397.0
-10.1311,-21.5921,0.0515,70.3125,9.5215,15.0757,341416.0
-8.6155,-15.05,0.5902,44.6777,24.7192,30.2124,351438.0
-6.4045,-11.8669,-5.2888,32.7759,52.4292,25.3906,361461.0
-4.1228,-10.4375,-10.4351,30.8228,26.7944,10.6201,371481.0
-1.251,-8.7125,-7.5705,33.0811,-9.0942,7.019,381495.0
-0.407,-8.4563,-5.3259,36.2549,-31.0059,4.4556,391497.0
-0.4286,-8.8861,-2.5019,37.3535,-45.4102,3.3569,401548.0
-0.7434,-8.333,0.3926,27.771,-52.5513,5.4321,411568.0
-1.3348,-9.3984,1.8914,-15.5029,-35.7666,4.3335,421582.0
-1.8052,-12.8509,1.3455,-32.7759,-27.0996,12.2681,431606.0
-1.9632,-13.4566,0.9481,-38.5742,-24.7803,27.2217,441624.0
-1.8495,-13.4267,0.7973,-31.5552,-25.8789,46.5088,451646.0
-2.1548,-12.8509,1.5538,-24.7192,-31.4941,66.3452,461646.0
-2.8503,-9.3769,3.4369,2.9297,-32.8369,87.8906,471652.0
-1.8771,-4.853,2.2577,13.855,-22.583,70.3125,481674.0
-1.5215,-5.2277,1.634,11.2305,-20.5078,49.2554,491700.0
-1.3228,-6.8714,2.5247,2.5635,-24.7803,31.0669,501701.0
