acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
2.2302,-8.9507,-26.7277,-17.7002,71.228,-147.583,111109.0
0.3256,-9.0884,-22.4205,-1.8921,-16.2964,-149.5361,121109.0
-0.0754,-12.8126,-18.7418,12.8174,-80.5054,-151.5503,131112.0
-1.6819,-17.1557,-15.7862,11.6577,-121.2769,-144.2871,141119.0
-2.7976,-20.0455,-7.7716,0.0,-163.5742,-121.7651,151126.0
-2.9951,-22.9807,-2.3236,-12.9395,-185.9741,-56.5186,161133.0
-3.4381,-21.1276,5.1056,-16.5405,-192.627,-16.5405,171137.0
-3.9959,-17.5136,9.5014,-15.0146,-193.3594,15.9302,181138.0
-4.4281,-13.9726,14.2946,-2.6855,-181.8237,38.8794,191140.0
-4.2449,-11.3641,18.7538,15.686,-160.1562,50.1099,201142.0
-3.9528,-8.9854,20.8032,13.9771,-77.2705,48.8281,211142.0
-2.5391,-7.0473,18.2055,-5.0049,-27.771,34.1797,221147.0
-1.7322,-7.8769,13.9295,-18.6157,11.8408,20.6909,231147.0
-0.8954,-8.5425,8.855,-17.6392,38.147,15.8691,241151.0
-0.0994,-8.8717,3.8176,-4.8218,52.5513,17.334,251156.0
0.4812,-8.1678,0.0946,11.2915,39.978,28.0151,261158.0
0.8847,-6.5398,-1.4892,33.7524,24.1089,29.2969,272245.0
1.0558,-6.1052,-1.6496,33.8135,13.4888,26.062,282246.0
1.1803,-6.462,-2.1057,24.4751,7.7515,17.4561,292250.0
1.2222,-7.5956,-2.3547,14.1602,-0.4883,7.9956,302253.0
1.0702,-9.2081,-1.579,13.1836,-20.0195,2.6855,312255.0
0.4525,-9.7121,-0.3196,19.2261,-30.7007,4.9438,322262.0
0.0814,-9.6211,0.7326,26.2451,-38.0249,7.5073,332269.0
-0.4106,-9.8078,1.8531,30.3955,-42.2974,7.8735,342274.0
-0.7087,-9.9742,3.6057,31.9824,-45.7764,7.019,352275.0
-0.9074,-10.3633,5.4719,17.0288,-34.9731,2.8076,362278.0
-1.1049,-11.7424,5.5486,9.8877,-26.062,2.9297,372280.0
-1.0618,-11.795,5.5486,8.3008,-17.4561,6.8359,382284.0
-0.9002,-11.6442,5.5282,10.5591,-10.0708,12.146,392291.0
-0.7458,-11.3844,4.8423,14.8926,-1.9531,17.0898,402295.0
-0.5782,-11.0313,3.6655,23.1323,8.4229,26.123,412301.0
-0.2801,-10.0281,3.0143,22.9492,7.5073,29.7241,422302.0
-0.1676,-9.4224,2.909,19.8975,8.9111,31.311,432323.0
0.0096,-9.2931,2.3679,16.6626,12.8174,29.8462,442330.0
0.1137,-9.5181,1.8687,13.1836,14.9536,27.6489,452333.0
0.243,-9.6355,1.6221,18.1885,11.5967,28.8696,462341.0
0.3903,-9.6031,1.6233,20.5078,10.0098,30.1514,472341.0
0.5016,-9.6941,1.7945,22.2168,8.1177,31.0059,482346.0
0.65,-9.8426,2.0973,22.583,6.2866,31.4331,492351.0
0.5842,-10.1227,1.8962,22.1558,6.4087,32.8979,502357.0
