acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
-0.3316,-0.2274,23.784,-0.061,56.6406,55.1147,110036.0
-1.1241,0.4693,23.2896,5.0659,104.4312,46.875,120042.0
-1.5969,0.3998,20.3495,6.4087,156.7383,31.7993,130049.0
-1.9776,1.2151,12.5384,22.7661,237.1826,-8.1177,140054.0
-0.5914,3.6164,3.966,37.9028,266.9067,-40.0391,150056.0
0.3005,1.3934,-4.962,37.7197,277.0996,-82.1533,160063.0
1.3791,-4.3958,-9.3302,25.5127,245.2393,-125.5493,170070.0
2.4995,-11.8238,-11.7256,15.5029,197.4487,-151.9775,180077.0
2.9928,-16.9976,-13.0209,14.8926,99.2432,-123.23,190077.0
3.4201,-22.0183,-8.4767,13.7939,52.3071,-88.562,200085.0
3.6009,-20.0502,-5.2924,19.5923,22.0337,-45.4102,210087.0
3.7385,-16.8935,-2.9365,23.6816,5.7373,-8.3618,220088.0
4.1264,-14.4981,-1.0953,20.6909,-4.8828,14.2212,230095.0
4.4484,-12.4056,-1.0068,10.2539,-18.8599,39.7949,240097.0
4.3622,-7.7859,2.0782,11.2915,-34.5459,45.4102,250104.0
4.2365,-5.934,3.9612,16.1133,-42.4194,45.166,260104.0
3.9397,-4.9991,5.2253,17.8223,-41.3208,39.2456,270111.0
3.8726,-4.9309,6.8989,16.3574,-39.3677,29.6631,280116.0
3.9025,-5.5366,7.9428,10.3149,-20.1416,12.8174,290118.0
4.3012,-7.2879,5.7581,9.8267,-7.019,9.9487,300120.0
4.5633,-7.8745,4.1492,9.8877,-0.6104,10.6201,310127.0
4.6459,-8.1068,2.5594,13.1836,0.2441,13.7329,320133.0
4.4532,-8.1678,1.6664,19.043,-3.3569,17.2119,330136.0
4.3251,-7.6495,1.7897,23.6206,-14.7705,19.2871,340145.0
4.1001,-7.774,1.4964,15.1978,-16.6626,14.0381,351246.0
3.9552,-8.1199,1.5323,13.9771,-20.0195,10.498,361248.0
3.8032,-7.7153,2.788,21.2402,-26.7334,11.1084,371250.0
3.8199,-7.5968,3.6751,30.7617,-28.6865,10.0708,381251.0
3.881,-7.908,3.2681,39.3066,-22.2778,5.5542,391251.0
3.4393,-7.7788,3.802,43.457,-24.1089,3.7842,401255.0
3.3423,-8.2361,4.5382,38.3301,-25.3296,-0.3052,411255.0
3.3507,-9.3925,4.719,25.5737,-21.4233,-5.188,421258.0
3.395,-10.1682,4.0941,18.3716,-15.1978,-5.3711,431261.0
3.5147,-10.5728,3.3734,22.7051,-11.5356,4.8218,441261.0
3.7757,-10.2005,3.1807,26.7334,-11.7798,12.146,451268.0
3.7577,-9.493,2.8742,30.0903,-11.2915,18.7988,461270.0
3.571,-8.922,2.9269,34.4238,-12.2681,22.522,471278.0
3.6524,-8.1798,3.9085,32.8369,-14.6484,23.5596,481283.0
3.6823,-7.8254,4.3467,6.7749,-6.0425,14.9536,491286.0
3.9325,-8.6981,3.2358,-5.9204,0.1831,10.6201,501293.0
