acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
-0.7877,-13.0352,1.6652,22.9492,41.1377,-165.9546,110060.0
-0.9708,-13.5117,2.9281,22.7051,33.1421,-141.1133,120066.0
-1.1193,-13.2567,5.4456,24.9023,37.5366,-129.6387,131158.0
-1.2438,-13.3692,4.6412,20.6299,49.4385,-118.8965,141158.0
-1.4437,-13.8421,3.8511,12.8784,57.6172,-108.2764,151158.0
-1.5622,-14.6609,4.4353,6.4697,57.5562,-97.6563,161159.0
-1.5036,-15.7072,3.2142,4.1504,69.6411,-66.6504,171162.0
-1.506,-16.3117,2.0674,-1.0986,73.5474,-48.7061,181165.0
-1.67,-16.7702,1.8411,-7.9956,70.1904,-31.6162,191193.0
-1.8064,-16.7163,1.6891,-9.0332,66.9556,-12.6953,201203.0
-1.8064,-16.3931,1.6783,-7.2021,64.9414,5.8594,211205.0
-1.8411,-15.8161,1.5562,-7.2021,62.6831,39.3677,221212.0
-1.7394,-15.0895,1.1911,-10.498,62.2559,51.6968,231219.0
-1.652,-15.1337,1.1756,-12.8174,58.4106,64.9414,241224.0
-1.6029,-14.8704,1.5335,-10.6812,54.0161,80.5664,251232.0
-1.5838,-14.6298,2.1213,-6.958,49.1943,95.9473,261236.0
-1.743,-13.4387,3.2549,-3.0518,44.9219,122.2534,271237.0
-1.2258,-10.9511,3.7242,-3.0518,52.6733,127.6855,281245.0
-0.9361,-9.8222,2.3667,-4.0283,60.6079,130.7373,291253.0
-0.5483,-8.3055,1.6424,-2.5024,59.4482,132.2632,301254.0
-0.1065,-6.8019,0.7925,-2.5024,55.8472,128.7231,311257.0
0.3484,-5.43,-0.5231,0.2441,45.2271,109.5581,321262.0
1.2917,-3.1663,-0.8547,5.9204,32.5928,94.3604,331268.0
1.6987,-3.2693,-0.8942,7.2021,22.7051,75.3174,341272.0
1.9549,-3.7146,-0.2322,6.1035,11.4746,57.1289,351279.0
2.1703,-4.4353,0.3352,5.7983,1.9531,41.5039,361285.0
2.3619,-5.436,0.5878,4.8828,-7.9956,19.165,371287.0
2.5367,-6.9348,1.4186,8.606,-12.8784,14.0381,382377.0
2.5007,-7.2125,1.8459,12.4512,-15.8691,10.437,392380.0
2.375,-7.1299,2.1644,16.2964,-17.5171,7.6294,402381.0
2.2386,-6.9504,2.8742,18.8599,-19.043,3.6621,412383.0
2.3008,-7.3777,3.1568,12.0239,-14.4653,-8.7891,422391.0
2.138,-8.0266,3.2741,7.5073,-12.5732,-14.0991,432395.0
2.1835,-8.7843,3.1364,4.6387,-10.0098,-18.0664,442403.0
2.2326,-9.7695,2.4684,1.5869,-6.958,-19.5923,452405.0
2.1895,-10.4579,2.0063,0.8545,-6.4697,-17.5171,462412.0
2.0949,-10.5572,1.8507,7.8735,-10.0098,-6.2256,472420.0
1.7071,-9.7504,2.6073,7.5073,-11.9019,-3.1128,482426.0
1.5862,-9.6379,2.9221,5.0049,-11.0474,-2.4414,492427.0
1.5694,-9.991,2.7928,2.4414,-8.606,-3.2959,502434.0
