acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
0.0144,2.3224,-6.2189,-15.8691,168.2739,117.6758,110040.0
1.4365,0.8164,-6.4967,-17.0288,126.6479,85.144,120040.0
1.9178,0.0156,-4.8722,-10.6201,83.6182,62.8662,130040.0
2.2482,0.6991,-2.6276,9.9487,46.3257,50.415,140047.0
2.3176,0.1389,1.136,41.0156,4.4556,16.8457,150051.0
2.1261,-1.4784,2.1751,44.7998,-6.3477,-2.5635,160054.0
2.047,-4.5286,3.1352,38.9404,-14.2822,-22.1558,170057.0
2.1093,-9.5421,3.7529,25.8789,-19.3481,-37.4146,180060.0
2.0051,-13.7894,4.9524,13.1226,-22.7661,-36.0718,190060.0
1.719,-14.4885,6.3554,20.3857,-19.8364,13.9771,200063.0
0.8272,-10.0221,6.019,19.3481,-12.7563,29.1138,210063.0
0.4788,-8.4827,6.4799,13.1226,-10.1318,31.1279,220071.0
0.3412,-7.859,6.7121,7.2021,-7.1411,25.7568,230071.0
0.4022,-8.1463,6.2884,-0.3052,-1.1597,17.1509,240071.0
0.5148,-8.7233,5.8335,-6.6528,7.2021,8.2397,250074.0
0.9565,-8.7101,4.1922,-2.4414,8.2397,10.0098,260077.0
1.069,-8.5377,3.62,3.9673,5.6763,11.7187,270081.0
1.0487,-8.1475,3.8642,9.3994,-0.4272,13.5498,280083.0
1.0499,-7.4759,4.4496,11.1694,-5.7983,14.8926,290090.0
1.0523,-7.3574,4.7106,6.5308,-8.3618,9.0332,300097.0
1.166,-7.7345,4.6795,6.1646,-9.6436,7.3242,310100.0
1.2725,-7.6172,4.7154,8.2397,-11.8408,7.5684,320101.0
1.2989,-7.7069,4.6424,11.8408,-13.5498,7.7515,330108.0
1.2498,-7.9511,4.5825,15.9912,-15.7471,7.8735,340108.0
1.0786,-7.8721,5.0925,21.3623,-21.3013,9.7656,350108.0
0.972,-7.8135,5.8766,17.9443,-18.7988,6.5308,360108.0
0.9421,-8.4779,5.8215,14.7095,-16.2354,2.8687,370111.0
1.0008,-8.8442,5.6228,14.8926,-14.7705,2.9297,380113.0
1.0104,-9.0836,5.2768,15.2588,-12.6953,4.9438,390113.0
1.0367,-9.1219,5.1224,16.2354,-13.0005,11.7798,400114.0
0.8727,-8.6646,4.9081,23.5596,-14.4653,15.625,410114.0
0.8284,-7.6866,5.5833,25.3296,-17.2119,18.3105,420122.0
0.7901,-7.3861,5.5534,21.5454,-16.0522,15.3198,430126.0
0.8021,-7.8721,5.3163,13.4277,-12.8784,8.667,440132.0
0.8475,-8.6586,5.3151,8.606,-11.9019,4.6387,450134.0
0.9541,-9.0465,5.0458,10.2539,-9.3994,8.606,461218.0
0.9804,-8.8274,4.8758,12.146,-9.0942,13.0005,471226.0
0.9026,-8.6419,4.7645,16.5405,-9.1553,15.625,481227.0
0.844,-8.1199,5.0925,20.752,-10.437,17.5781,491229.0
0.826,-7.8961,5.2601,12.8784,-8.8501,11.6577,501232.0
