acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
-5.1523,1.6568,8.9807,130.188,-99.3652,-231.6284,110039.0
-6.5853,-18.8328,11.2647,75.8057,-59.8755,-278.9917,120040.0
-6.1663,-39.2218,17.1353,-12.6953,-28.9917,-289.6118,130046.0
-5.375,-37.0766,21.9393,55.7251,41.0156,-14.0991,140047.0
-6.5493,-24.4113,18.1085,66.3452,100.647,99.5483,150048.0
-7.416,-15.0212,15.6485,37.0483,138.0615,142.395,160063.0
-7.3131,-10.3238,15.4175,7.0801,164.3677,149.7192,170089.0
-5.5534,-12.378,9.7229,-35.0342,199.7681,129.0894,180096.0
-2.7186,-12.0668,-7.938,-56.8848,219.6655,126.4648,190109.0
3.1568,1.1923,-11.1223,-41.1377,169.8608,123.8403,200140.0
4.0163,2.9161,-8.0517,-10.376,95.7031,99.7314,210145.0
3.3926,1.5203,-2.132,19.7754,30.6396,67.9321,220167.0
2.5187,0.3735,2.9736,38.3301,-3.1128,44.7388,230198.0
1.9561,-3.9313,4.2042,11.8408,7.7515,1.709,240200.0
2.1787,-14.048,3.6093,9.3994,10.1929,12.8174,250228.0
2.4541,-11.2982,3.9863,26.1841,6.7139,48.8281,260255.0
2.387,-8.1175,4.221,42.6636,2.8687,77.0874,270261.0
2.138,-6.359,5.6144,52.7344,-3.2959,85.8765,280293.0
2.1009,-4.6256,7.0916,41.0767,-1.0376,74.0356,290327.0
2.8479,-3.3351,4.3096,18.5547,8.1177,53.2837,300329.0
2.9868,-4.5825,3.6907,8.606,2.8687,33.2642,310360.0
3.304,-4.9632,4.774,17.395,-12.207,24.1699,320395.0
3.2789,-3.9361,5.879,37.0483,-24.0479,23.5596,330426.0
2.9939,-3.7529,6.0071,44.0063,-26.3672,6.5918,340434.0
2.0207,-5.9592,6.4727,44.0063,-27.71,-2.8076,350464.0
1.9201,-7.6854,6.5948,36.9263,-24.292,-10.3149,360495.0
2.0291,-9.3984,5.8706,23.7427,-16.0522,-14.7705,370497.0
2.1691,-10.2508,4.7142,15.0146,-9.3384,-11.2305,380530.0
2.3798,-10.635,3.7098,15.8081,-11.2915,6.5918,390565.0
2.4086,-9.4487,3.6464,22.522,-18.4937,18.9819,400568.0
2.3655,-7.4974,4.5191,27.2217,-25.5737,27.5269,410571.0
2.3403,-6.5529,4.968,19.104,-27.4048,24.5972,420573.0
2.3331,-6.9157,5.0721,4.4556,-25.2075,14.4043,430574.0
2.3152,-7.3263,5.351,-4.2114,-25.4517,7.2632,440582.0
2.302,-6.6714,5.6659,7.9956,-24.9634,8.5449,450590.0
2.1225,-6.8438,5.2984,16.7236,-24.1699,7.6294,460596.0
1.8507,-6.4416,5.7389,26.3672,-27.3438,7.8125,470596.0
1.6628,-5.6671,6.6188,31.4941,-30.7007,5.7983,480604.0
1.6101,-6.4296,6.6942,20.3247,-27.3438,-16.0522,490611.0
1.8136,-10.1502,5.2014,-6.3477,-17.0288,-17.0288,501702.0
