acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
-6.5793,32.8664,1.8052,6.1646,-46.814,-440.1245,110136.0
-8.0337,24.2772,-3.1687,59.8145,-78.3081,-561.4624,120165.0
-11.2647,12.384,-5.5318,119.6899,-128.7842,-620.6665,130173.0
-16.9533,-3.62,-6.4368,193.9087,-153.6255,-610.9009,140197.0
-19.3428,-28.1187,-7.926,222.7783,-139.0991,-513.5498,150222.0
-17.6022,-39.2218,14.0803,128.54,-173.0347,-411.1938,160224.0
-15.3037,-39.2218,26.2919,65.2466,-157.2266,-268.7378,170249.0
-12.1985,-39.2218,28.3605,36.0718,-75.9888,-72.6318,180249.0
-14.6202,-39.2218,25.8251,4.2114,29.48,109.8633,190282.0
-12.8437,-32.3301,16.2111,-20.2026,181.7627,291.626,200315.0
-9.5948,-13.6745,5.5713,-89.0503,208.8013,299.8657,211424.0
-9.3853,-9.4655,2.3631,-116.9434,230.2856,292.7246,221431.0
-5.2541,-0.0012,-6.2549,-120.1172,237.793,282.1045,231437.0
2.8072,10.7943,-20.0957,-110.2295,223.2056,250.2441,241438.0
10.1478,21.0151,-32.5683,-87.7686,32.2876,115.6006,251444.0
10.75,18.0164,-28.345,-65.7349,-100.3418,41.9312,261455.0
5.1475,13.6817,-20.9995,-26.7334,-219.1162,-10.5591,271484.0
-1.3276,5.8909,-12.3672,17.6392,-307.7393,-50.415,281485.0
-6.0226,-5.0925,-2.393,47.0581,-360.7178,-85.8154,291486.0
-7.197,-17.1413,18.2857,-33.02,-363.0371,-78.7354,301491.0
-10.2292,-19.6744,25.5797,-44.0063,-322.7539,-9.7656,311499.0
-11.0852,-12.8018,33.0496,-0.9766,-266.2354,58.7158,321501.0
-10.1981,-8.6598,34.5016,40.8325,-179.4434,86.6089,331505.0
-9.3877,-7.3179,28.2312,42.0532,-69.9463,81.604,341505.0
-8.3989,-4.0103,21.3252,29.2969,43.6401,44.8608,351508.0
-6.0765,-4.0259,9.3122,8.0566,66.1011,3.1128,361509.0
-4.7537,-7.9787,5.5893,-3.418,65.3076,-28.0151,371510.0
-3.5877,-10.483,4.3742,-2.5024,51.1475,-33.5083,381515.0
-2.7473,-10.7607,4.3898,6.4087,35.7666,-21.6064,391516.0
-1.9178,-9.8928,5.0973,30.5786,14.0991,4.6387,401518.0
-0.8296,-6.8354,7.1012,37.5366,12.3291,11.2915,411518.0
-0.3986,-5.369,7.4795,37.8418,17.2119,12.207,421521.0
0.0407,-5.3091,6.7912,30.8228,27.5879,6.1035,431521.0
0.5052,-7.003,5.3235,19.2261,39.0625,-2.9297,441523.0
0.7877,-9.8354,4.1899,7.6294,44.8608,-0.6714,451527.0
0.8248,-11.2228,3.5207,3.7842,40.1611,16.5405,461527.0
0.6859,-9.9958,3.0215,11.2305,35.6445,34.3018,471533.0
0.6488,-7.9499,2.6264,21.0571,27.832,47.9736,481549.0
0.3915,-6.1723,3.0442,29.9072,16.1133,53.4058,491570.0
0.2765,-4.7238,4.3742,33.1421,-1.5259,37.5977,501588.0
