acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
-7.0725,-22.8395,-0.0922,39.978,-94.9097,-252.5024,111108.0
-8.2684,-21.148,2.9987,64.9414,-126.8921,-196.3501,121109.0
-9.6379,-19.8587,12.1637,61.5234,-137.5732,-132.8735,131111.0
-9.505,-21.9907,17.352,46.4478,-121.9482,-112.1216,141113.0
-8.7041,-22.612,19.399,29.4189,-81.2988,-84.7778,151117.0
-7.6998,-22.138,18.3456,14.7705,-31.8604,-52.6733,161122.0
-6.8474,-20.498,15.4857,0.7935,15.564,-17.8223,171127.0
-6.092,-17.9984,11.9961,-13.6719,82.8857,42.9077,181128.0
-4.8028,-9.5565,2.6073,-11.2915,99.1821,61.1572,191128.0
-4.039,-5.7808,-1.913,-11.1084,99.8535,63.7207,201133.0
-3.1065,-3.875,-4.622,-9.3384,81.9092,53.894,211154.0
-2.2517,-3.5961,-4.3084,-6.2866,50.9644,39.978,221159.0
-1.7561,-4.2282,-2.3439,3.54,-1.9531,22.644,231168.0
-1.749,-5.8742,3.4417,8.7891,-14.6484,19.8364,241181.0
-1.8938,-6.6667,4.9859,11.9019,-17.395,18.0054,251183.0
-1.9609,-7.6962,5.6132,11.3525,-15.2588,16.8457,261190.0
-2.1033,-8.995,5.454,9.9487,-11.4746,17.6392,271208.0
-2.2146,-10.331,5.1547,12.207,-8.4229,31.4331,281215.0
-2.9868,-8.576,5.4217,20.1416,-6.7139,40.7715,291223.0
-3.3926,-6.8953,4.5526,21.1182,-1.709,42.2974,301246.0
-3.4453,-5.5725,4.7824,19.8364,-2.2583,36.8042,311247.0
-3.4477,-5.782,5.0039,13.3057,-2.3804,25.3296,321250.0
-3.48,-6.3937,4.7489,2.9907,1.5869,7.6904,331266.0
-3.286,-8.0517,4.4807,1.3428,1.4038,3.9062,341272.0
-3.2298,-8.594,4.3562,2.2583,0.8545,4.0894,351274.0
-3.3076,-8.849,4.6687,4.2725,-0.3662,6.7749,361292.0
-3.4022,-9.0597,5.0793,5.5542,-0.7324,9.8877,371316.0
-3.4764,-9.5493,5.1116,2.1362,4.5166,14.7705,381324.0
-3.5231,-10.4878,5.2912,1.1597,7.2021,19.9585,391327.0
-3.4656,-10.3286,5.1164,1.9531,10.6201,26.9165,401340.0
-3.4034,-10.3238,5.2541,3.3569,13.5498,32.7148,411346.0
-3.2669,-10.7464,5.0961,3.7231,16.9678,37.1704,421360.0
-3.2717,-10.9104,5.0661,4.4556,20.874,50.0488,431385.0
-3.0514,-11.4263,5.2481,2.4414,22.8271,55.9692,441391.0
-2.9377,-12.0931,5.1188,-0.2441,25.6958,62.6831,451398.0
-2.8695,-12.6366,4.9309,-2.9907,28.3813,72.2046,461422.0
-2.7402,-12.9311,4.8734,-1.8921,29.6631,84.2285,471422.0
-2.6875,-12.8341,4.7357,0.1831,31.311,110.5957,481432.0
-2.557,-12.3086,4.142,-1.77,31.6162,121.6431,492541.0
-2.4972,-11.5281,3.8523,1.709,29.8462,133.0566,502549.0
