acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
-4.4065,-12.2655,12.5971,27.9541,-271.1792,-91.4917,110030.0
-8.1499,-11.2516,23.7864,28.4424,-261.5967,-76.5991,120034.0
-8.5581,-8.5246,32.694,46.0205,-215.271,-58.0444,130042.0
-8.3689,-7.367,34.2,55.2979,-131.958,-59.5093,140044.0
-7.2149,-7.4819,34.5974,48.9502,-46.6919,-72.0215,150044.0
-5.9867,-7.6998,25.5066,17.6392,102.9663,-88.9282,160049.0
-4.0821,-4.8961,21.0259,18.7378,154.2969,-92.5293,170050.0
-2.8802,-4.4484,12.7671,23.1934,195.0073,-98.0835,180057.0
-1.4856,-6.7301,1.6628,15.7471,223.3276,-107.1777,190062.0
0.1149,-9.7815,-7.5118,13.9771,214.5996,-110.3516,200067.0
1.5,-9.815,-13.9211,37.9028,121.1548,-82.3364,210072.0
1.8304,-9.839,-14.4275,45.6543,61.2793,-75.0732,220077.0
0.9278,-12.5791,-9.9946,44.6167,12.7563,-71.3501,230085.0
0.0084,-14.9901,-6.3937,36.0718,-15.1367,-61.2183,240089.0
-0.6476,-17.2287,-4.8159,17.8223,-26.6113,-47.0581,250095.0
-1.4545,-17.3209,-2.9161,0.4883,-48.8892,-3.2959,260101.0
-2.144,-10.5884,2.6217,7.6904,-53.9551,11.8408,270105.0
-2.3427,-9.663,3.699,6.4087,-52.3682,12.2681,280112.0
-2.5283,-10.0832,5.1427,0.5493,-53.2837,8.2397,290119.0
-2.9521,-10.1885,7.0677,-3.7842,-54.1382,7.9346,300119.0
-3.3196,-9.4008,8.9687,-4.0283,-43.8232,10.437,310139.0
-3.1568,-10.2651,9.7983,-4.0283,-32.7148,9.9487,320153.0
-2.8347,-10.4615,9.3087,-0.5493,-22.8271,13.7939,330171.0
-2.4277,-9.8904,8.8753,4.8218,-15.2588,20.2637,340186.0
-2.1356,-8.8071,7.9775,9.5825,-7.3853,26.001,350199.0
-1.8256,-7.8231,6.4811,10.1929,9.7046,23.8647,360221.0
-1.0475,-8.1187,2.3655,2.2583,13.855,18.6768,370230.0
-0.7207,-8.1068,0.9301,2.3804,10.9253,16.4185,380251.0
-0.4405,-7.8997,0.2765,4.0894,4.0894,14.8926,390271.0
-0.1568,-7.9607,0.1413,6.6528,-4.5166,13.1226,400282.0
-0.085,-8.357,0.4046,8.728,-23.8647,10.6201,410301.0
-0.6165,-8.4396,3.3483,13.916,-31.7993,12.207,420320.0
-0.9685,-8.3737,4.2282,10.8032,-31.4331,11.5356,430330.0
-1.1061,-9.0537,4.2341,5.188,-26.7944,7.8735,440347.0
-1.2701,-10.2268,4.0127,-0.2441,-23.2544,5.6763,450369.0
-1.3827,-10.6614,4.6328,-0.1831,-23.8037,15.564,460382.0
-1.5048,-10.6865,5.7006,8.4229,-20.1416,21.1182,471481.0
-1.6221,-10.0078,6.0418,7.8735,-15.8081,26.2451,481486.0
-1.4976,-9.0154,5.6383,7.0801,-10.1318,29.4189,491489.0
-1.4186,-8.8466,4.95,4.0283,-4.6997,27.832,501489.0
